gift_no,donor_id,amount,gift_date,pledge_no
849,630,1458.33,2013-07-26,156
850,301,1041.67,2013-08-01,176
851,818,541.67,2013-08-03,171
852,552,125,2013-08-04,152
853,84,458.33,2013-08-06,161
854,604,2083.33,2013-08-06,100
855,82,1041.67,2013-08-07,139
856,367,2083.33,2013-08-07,169
857,440,1458.33,2013-08-08,172
858,684,833.33,2013-08-08,153
859,788,1041.67,2013-08-08,154
860,686,2083.33,2013-08-09,158
861,690,2777.78,2013-08-09,140
862,605,541.67,2013-08-10,162
863,112,2777.78,2013-08-13,167
864,547,1250,2013-08-13,168
865,762,1250,2013-08-14,149
866,526,2083.33,2013-08-18,110
867,258,2083.33,2013-08-19,163
868,498,333.33,2013-08-19,170
869,434,833.33,2013-08-20,150
870,810,600,2013-08-20,
871,936,2777.78,2013-08-20,164
872,273,200,2013-08-22,
873,655,2083.33,2013-08-22,166
874,915,2083.33,2013-08-23,109
875,247,400,2013-08-24,
876,619,100,2013-08-24,
877,530,291.67,2013-08-25,151
878,107,541.67,2013-08-26,160
879,630,1458.33,2013-08-26,156
880,503,2083.33,2013-08-29,177
881,978,400,2013-08-30,
882,301,1041.67,2013-09-01,176
883,745,100,2013-09-02,
884,818,541.67,2013-09-03,171
885,552,125,2013-09-04,152
886,84,458.33,2013-09-06,161
887,604,2083.33,2013-09-06,100
888,82,1041.67,2013-09-07,139
889,312,833.33,2013-09-07,178
890,367,2083.33,2013-09-07,169
891,440,1458.33,2013-09-08,172
892,684,833.33,2013-09-08,153
893,788,1041.67,2013-09-08,154
894,686,2083.33,2013-09-09,158
895,690,2777.78,2013-09-09,140
896,605,541.67,2013-09-10,162
897,795,600,2013-09-10,
898,326,2083.33,2013-09-12,179
899,896,300,2013-09-12,180
900,112,2777.78,2013-09-13,167
901,547,1250,2013-09-13,168
902,268,6000,2013-09-17,
903,526,2083.33,2013-09-18,110
904,258,2083.33,2013-09-19,163
905,498,333.33,2013-09-19,170
906,434,833.33,2013-09-20,150
907,936,2777.78,2013-09-20,164
908,655,2083.33,2013-09-22,166
909,915,2083.33,2013-09-23,109
910,530,291.67,2013-09-25,151
911,565,2500,2013-09-25,
912,594,100,2013-09-25,
913,107,541.67,2013-09-26,160
914,630,1458.33,2013-09-26,156
915,251,458.33,2013-09-27,181
916,503,2083.33,2013-09-29,177
917,301,1041.67,2013-10-01,176
918,225,800,2013-10-03,
919,818,541.67,2013-10-03,171
920,507,291.67,2013-10-04,182
921,552,125,2013-10-04,152
922,84,458.33,2013-10-06,161
923,604,2083.33,2013-10-06,100
924,82,1041.67,2013-10-07,139
925,312,833.33,2013-10-07,178
926,367,2083.33,2013-10-07,169
927,440,1458.33,2013-10-08,172
928,684,833.33,2013-10-08,153
929,788,1041.67,2013-10-08,154
930,686,2083.33,2013-10-09,158
931,690,2777.78,2013-10-09,140
932,605,541.67,2013-10-10,162
933,326,2083.33,2013-10-12,179
934,717,83.33,2013-10-12,183
935,896,300,2013-10-12,180
936,112,2777.78,2013-10-13,167
937,547,1250,2013-10-13,168
938,842,100,2013-10-13,
939,526,2083.33,2013-10-18,110
940,258,2083.33,2013-10-19,163
941,498,333.33,2013-10-19,170
942,534,500,2013-10-19,184
943,434,833.33,2013-10-20,150
944,936,2777.78,2013-10-20,164
945,292,1500,2013-10-22,
946,655,2083.33,2013-10-22,166
947,915,2083.33,2013-10-23,109
948,107,541.67,2013-10-26,160
949,630,1458.33,2013-10-26,156
950,251,458.33,2013-10-27,181
951,873,100,2013-10-28,
952,503,2083.33,2013-10-29,177
953,301,1041.67,2013-11-01,176
954,818,541.67,2013-11-03,171
955,507,291.67,2013-11-04,182
956,84,458.33,2013-11-06,161
957,604,2083.33,2013-11-06,100
958,82,1041.67,2013-11-07,139
959,312,833.33,2013-11-07,178
960,367,2083.33,2013-11-07,169
961,440,1458.33,2013-11-08,172
962,788,1041.67,2013-11-08,154
963,686,2083.33,2013-11-09,158
964,690,2777.78,2013-11-09,140
965,605,541.67,2013-11-10,162
966,326,2083.33,2013-11-12,179
967,717,83.33,2013-11-12,183
968,112,2777.78,2013-11-13,167
969,547,1250,2013-11-13,168
970,526,2083.33,2013-11-18,110
971,258,2083.33,2013-11-19,163
972,498,333.33,2013-11-19,170
973,534,500,2013-11-19,184
974,434,833.33,2013-11-20,150
975,936,2777.78,2013-11-20,164
976,655,2083.33,2013-11-22,166
977,915,2083.33,2013-11-23,109
978,107,541.67,2013-11-26,160
979,251,458.33,2013-11-27,181
980,503,2083.33,2013-11-29,177
981,287,541.67,2013-11-30,185
982,964,208.33,2013-11-30,186
983,301,1041.67,2013-12-01,176
984,818,541.67,2013-12-03,171
985,507,291.67,2013-12-04,182
986,253,300,2013-12-05,
987,84,458.33,2013-12-06,161
988,604,2083.33,2013-12-06,100
989,82,1041.67,2013-12-07,139
990,312,833.33,2013-12-07,178
991,367,2083.33,2013-12-07,169
992,440,1458.33,2013-12-08,172
993,788,1041.67,2013-12-08,154
994,60,100,2013-12-09,
995,686,2083.33,2013-12-09,158
996,690,2777.78,2013-12-09,140
997,605,541.67,2013-12-10,162
998,664,500,2013-12-11,187
999,326,2083.33,2013-12-12,179
1000,717,83.33,2013-12-12,183
1001,112,2777.78,2013-12-13,167
1002,547,1250,2013-12-13,168
1003,208,300,2013-12-15,
1004,526,2083.33,2013-12-18,110
1005,258,2083.33,2013-12-19,163
1006,498,333.33,2013-12-19,170
1007,534,500,2013-12-19,184
1008,434,833.33,2013-12-20,150
1009,936,2777.78,2013-12-20,164
1010,621,100,2013-12-22,
1011,655,2083.33,2013-12-22,166
1012,915,2083.33,2013-12-23,109
1013,251,458.33,2013-12-27,181
1014,503,2083.33,2013-12-29,177
1015,939,1458.33,2013-12-29,188
1016,287,541.67,2013-12-31,185
1017,964,208.33,2013-12-31,186
1018,301,1041.67,2014-01-01,176
1019,646,100,2014-01-01,
1020,248,83.33,2014-01-02,189
1021,818,541.67,2014-01-03,171
1022,507,291.67,2014-01-04,182
1023,107,291.67,2014-01-06,191
1024,376,833.33,2014-01-06,190
1025,604,2083.33,2014-01-06,100
1026,82,1041.67,2014-01-07,139
1027,312,833.33,2014-01-07,178
1028,367,2083.33,2014-01-07,169
1029,440,1458.33,2014-01-08,172
1030,788,1041.67,2014-01-08,154
1031,420,300,2014-01-09,
1032,686,2083.33,2014-01-09,158
1033,690,2777.78,2014-01-09,140
1034,664,500,2014-01-11,187
1035,326,2083.33,2014-01-12,179
1036,717,83.33,2014-01-12,183
1037,773,100,2014-01-12,
1038,112,2777.78,2014-01-13,167
1039,547,1250,2014-01-13,168
1040,526,2083.33,2014-01-18,110
1041,258,2083.33,2014-01-19,163
1042,498,333.33,2014-01-19,170
1043,534,500,2014-01-19,184
1044,434,833.33,2014-01-20,150
1045,936,2777.78,2014-01-20,164
1046,524,500,2014-01-22,
1047,655,2083.33,2014-01-22,166
1048,915,2083.33,2014-01-23,109
1049,999,200,2014-01-24,
1050,251,458.33,2014-01-27,181
1051,503,2083.33,2014-01-29,177
1052,939,1458.33,2014-01-29,188
1053,287,541.67,2014-01-31,185
1054,964,208.33,2014-01-31,186
1055,301,1041.67,2014-02-01,176
1056,248,83.33,2014-02-02,189
1057,818,541.67,2014-02-03,171
1058,507,291.67,2014-02-04,182
1059,107,291.67,2014-02-06,191
1060,376,833.33,2014-02-06,190
1061,82,1041.67,2014-02-07,139
1062,312,833.33,2014-02-07,178
1063,367,2083.33,2014-02-07,169
1064,440,1458.33,2014-02-08,172
1065,788,1041.67,2014-02-08,154
1066,686,2083.33,2014-02-09,158
1067,690,2777.78,2014-02-09,140
1068,973,2000,2014-02-10,
1069,664,500,2014-02-11,187
1070,326,2083.33,2014-02-12,179
1071,717,83.33,2014-02-12,183
1072,112,2777.78,2014-02-13,167
1073,547,1250,2014-02-13,168
1074,526,2083.33,2014-02-18,110
1075,258,2083.33,2014-02-19,163
1076,498,333.33,2014-02-19,170
1077,534,500,2014-02-19,184
1078,434,833.33,2014-02-20,150
1079,936,2777.78,2014-02-20,164
1080,655,2083.33,2014-02-22,166
1081,915,2083.33,2014-02-23,109
1082,251,458.33,2014-02-27,181
1083,983,250,2014-02-27,192
1084,287,541.67,2014-02-28,185
1085,503,2083.33,2014-02-28,177
1086,939,1458.33,2014-02-28,188
1087,964,208.33,2014-02-28,186
1088,301,1041.67,2014-03-01,176
1089,640,200,2014-03-01,
1090,248,83.33,2014-03-02,189
1091,818,541.67,2014-03-03,171
1092,507,291.67,2014-03-04,182
1093,107,291.67,2014-03-06,191
1094,376,833.33,2014-03-06,190
1095,617,400,2014-03-06,193
1096,82,1041.67,2014-03-07,139
1097,312,833.33,2014-03-07,178
1098,367,2083.33,2014-03-07,169
1099,440,1458.33,2014-03-08,172
1100,788,1041.67,2014-03-08,154
1101,686,2083.33,2014-03-09,158
1102,690,2777.78,2014-03-09,140
1103,664,500,2014-03-11,187
1104,326,2083.33,2014-03-12,179
1105,717,83.33,2014-03-12,183
1106,112,2777.78,2014-03-13,167
1107,167,100,2014-03-15,
1108,277,500,2014-03-15,
1109,394,200,2014-03-17,
1110,403,300,2014-03-17,194
1111,341,400,2014-03-18,
1112,526,2083.33,2014-03-18,110
1113,258,2083.33,2014-03-19,163
1114,498,333.33,2014-03-19,170
1115,534,500,2014-03-19,184
1116,434,833.33,2014-03-20,150
1117,936,2777.78,2014-03-20,164
1118,418,400,2014-03-21,
1119,655,2083.33,2014-03-22,166
1120,915,2083.33,2014-03-23,109
1121,251,458.33,2014-03-27,181
1122,983,250,2014-03-27,192
1123,347,100,2014-03-28,
1124,503,2083.33,2014-03-29,177
1125,939,1458.33,2014-03-29,188
1126,282,300,2014-03-30,
1127,287,541.67,2014-03-31,185
1128,964,208.33,2014-03-31,186
1129,301,1041.67,2014-04-01,176
1130,248,83.33,2014-04-02,189
1131,818,541.67,2014-04-03,171
1132,352,100,2014-04-04,
1133,507,291.67,2014-04-04,182
1134,107,291.67,2014-04-06,191
1135,376,833.33,2014-04-06,190
1136,617,400,2014-04-06,193
1137,82,1041.67,2014-04-07,139
1138,312,833.33,2014-04-07,178
1139,367,2083.33,2014-04-07,169
1140,440,1458.33,2014-04-08,172
1141,788,1041.67,2014-04-08,154
1142,686,2083.33,2014-04-09,158
1143,690,2777.78,2014-04-09,140
1144,321,541.67,2014-04-10,195
1145,393,100,2014-04-11,
1146,664,500,2014-04-11,187
1147,326,2083.33,2014-04-12,179
1148,717,83.33,2014-04-12,183
1149,112,2777.78,2014-04-13,167
1150,75,100,2014-04-14,
1151,243,100,2014-04-16,
1152,526,2083.33,2014-04-18,110
1153,602,400,2014-04-18,
1154,258,2083.33,2014-04-19,163
1155,534,500,2014-04-19,184
1156,434,833.33,2014-04-20,150
1157,936,2777.78,2014-04-20,164
1158,655,2083.33,2014-04-22,166
1159,251,458.33,2014-04-27,181
1160,814,1041.67,2014-04-27,196
1161,983,250,2014-04-27,192
1162,494,200,2014-04-29,
1163,503,2083.33,2014-04-29,177
1164,939,1458.33,2014-04-29,188
1165,287,541.67,2014-04-30,185
1166,964,208.33,2014-04-30,186
1167,301,1041.67,2014-05-01,176
1168,248,83.33,2014-05-02,189
1169,414,200,2014-05-03,
1170,507,291.67,2014-05-04,182
1171,107,291.67,2014-05-06,191
1172,376,833.33,2014-05-06,190
1173,82,1041.67,2014-05-07,139
1174,312,833.33,2014-05-07,178
1175,367,2083.33,2014-05-07,169
1176,542,291.67,2014-05-07,197
1177,549,1041.67,2014-05-07,198
1178,788,1041.67,2014-05-08,154
1179,686,2083.33,2014-05-09,158
1180,690,2777.78,2014-05-09,140
1181,321,541.67,2014-05-10,195
1182,664,500,2014-05-11,187
1183,326,2083.33,2014-05-12,179
1184,717,83.33,2014-05-12,183
1185,112,2777.78,2014-05-13,167
1186,256,900,2014-05-18,
1187,258,2083.33,2014-05-19,163
1188,534,500,2014-05-19,184
1189,434,833.33,2014-05-20,150
1190,936,2777.78,2014-05-20,164
1191,655,2083.33,2014-05-22,166
1192,251,458.33,2014-05-27,181
1193,814,1041.67,2014-05-27,196
1194,983,250,2014-05-27,192
1195,503,2083.33,2014-05-29,177
1196,939,1458.33,2014-05-29,188
1197,771,100,2014-05-30,
1198,287,541.67,2014-05-31,185
1199,964,208.33,2014-05-31,186
1200,301,1041.67,2014-06-01,176
1201,248,83.33,2014-06-02,189
1202,507,291.67,2014-06-04,182
1203,971,200,2014-06-05,
1204,107,291.67,2014-06-06,191
1205,376,833.33,2014-06-06,190
1206,312,833.33,2014-06-07,178
1207,367,2083.33,2014-06-07,169
1208,542,291.67,2014-06-07,197
1209,549,1041.67,2014-06-07,198
1210,788,1041.67,2014-06-08,154
1211,686,2083.33,2014-06-09,158
1212,690,2777.78,2014-06-09,140
1213,321,541.67,2014-06-10,195
1214,701,200,2014-06-10,
1215,664,500,2014-06-11,187
1216,326,2083.33,2014-06-12,179
1217,717,83.33,2014-06-12,183
1218,112,2777.78,2014-06-13,167
1219,258,2083.33,2014-06-19,163
1220,534,500,2014-06-19,184
1221,434,833.33,2014-06-20,150
1222,936,2777.78,2014-06-20,164
1223,866,458.33,2014-06-21,199
1224,328,2000,2014-06-22,
1225,655,2083.33,2014-06-22,166
1226,251,458.33,2014-06-27,181
1227,587,333.33,2014-06-27,200
1228,814,1041.67,2014-06-27,196
1229,983,250,2014-06-27,192
1230,503,2083.33,2014-06-29,177
1231,939,1458.33,2014-06-29,188
1232,287,541.67,2014-06-30,185
1233,964,208.33,2014-06-30,186
1234,301,1041.67,2014-07-01,176
1235,160,300,2014-07-02,201
1236,248,83.33,2014-07-02,189
1237,507,291.67,2014-07-04,182
1238,107,291.67,2014-07-06,191
1239,376,833.33,2014-07-06,190
1240,312,833.33,2014-07-07,178
1241,367,2083.33,2014-07-07,169
1242,542,291.67,2014-07-07,197
1243,549,1041.67,2014-07-07,198
1244,788,1041.67,2014-07-08,154
1245,686,2083.33,2014-07-09,158
1246,690,2777.78,2014-07-09,140
1247,321,541.67,2014-07-10,195
1248,664,500,2014-07-11,187
1249,919,400,2014-07-11,
1250,326,2083.33,2014-07-12,179
1251,521,200,2014-07-12,
1252,717,83.33,2014-07-12,183
1253,112,2777.78,2014-07-13,167
1254,589,100,2014-07-18,
1255,258,2083.33,2014-07-19,163
1256,534,500,2014-07-19,184
1257,733,100,2014-07-19,
1258,434,833.33,2014-07-20,150
1259,936,2777.78,2014-07-20,164
1260,866,458.33,2014-07-21,199
1261,655,2083.33,2014-07-22,166
1262,50,400,2014-07-24,
1263,251,458.33,2014-07-27,181
1264,587,333.33,2014-07-27,200
1265,814,1041.67,2014-07-27,196
1266,983,250,2014-07-27,192
1267,503,2083.33,2014-07-29,177
1268,939,1458.33,2014-07-29,188
1269,287,541.67,2014-07-31,185
1270,964,208.33,2014-07-31,186
1271,248,83.33,2014-08-02,189
1272,507,291.67,2014-08-04,182
1273,665,291.67,2014-08-04,202
1274,107,291.67,2014-08-06,191
1275,376,833.33,2014-08-06,190
1276,312,833.33,2014-08-07,178
1277,367,2083.33,2014-08-07,169
1278,542,291.67,2014-08-07,197
1279,549,1041.67,2014-08-07,198
1280,788,1041.67,2014-08-08,154
1281,36,600,2014-08-09,
1282,558,83.33,2014-08-09,203
1283,686,2083.33,2014-08-09,158
1284,690,2777.78,2014-08-09,140
1285,321,541.67,2014-08-10,195
1286,664,500,2014-08-11,187
1287,326,2083.33,2014-08-12,179
1288,717,83.33,2014-08-12,183
1289,112,2777.78,2014-08-13,167
1290,258,2083.33,2014-08-19,163
1291,534,500,2014-08-19,184
1292,434,833.33,2014-08-20,150
1293,936,2777.78,2014-08-20,164
1294,866,458.33,2014-08-21,199
1295,655,2083.33,2014-08-22,166
1296,181,375,2014-08-23,204
1297,721,600,2014-08-24,
1298,251,458.33,2014-08-27,181
1299,587,333.33,2014-08-27,200
1300,814,1041.67,2014-08-27,196
1301,983,250,2014-08-27,192
1302,503,2083.33,2014-08-29,177
1303,939,1458.33,2014-08-29,188
1304,140,208.33,2014-08-30,205
1305,287,541.67,2014-08-31,185
1306,964,208.33,2014-08-31,186
1307,248,83.33,2014-09-02,189
1308,102,1250,2014-09-04,207
1309,507,291.67,2014-09-04,182
1310,580,500,2014-09-04,206
1311,665,291.67,2014-09-04,202
1312,107,291.67,2014-09-06,191
1313,376,833.33,2014-09-06,190
1314,785,400,2014-09-06,
1315,367,2083.33,2014-09-07,169
1316,542,291.67,2014-09-07,197
1317,549,1041.67,2014-09-07,198
1318,788,1041.67,2014-09-08,154
1319,558,83.33,2014-09-09,203
1320,686,2083.33,2014-09-09,158
1321,690,2777.78,2014-09-09,140
1322,321,541.67,2014-09-10,195
1323,664,500,2014-09-11,187
1324,326,2083.33,2014-09-12,179
1325,717,83.33,2014-09-12,183
1326,112,2777.78,2014-09-13,167
1327,996,208.33,2014-09-14,208
1328,571,200,2014-09-18,
1329,258,2083.33,2014-09-19,163
1330,534,500,2014-09-19,184
1331,561,300,2014-09-20,
1332,936,2777.78,2014-09-20,164
1333,866,458.33,2014-09-21,199
1334,655,2083.33,2014-09-22,166
1335,181,375,2014-09-23,204
1336,723,100,2014-09-25,
1337,847,600,2014-09-26,
1338,587,333.33,2014-09-27,200
1339,814,1041.67,2014-09-27,196
1340,983,250,2014-09-27,192
1341,503,2083.33,2014-09-29,177
1342,939,1458.33,2014-09-29,188
1343,140,208.33,2014-09-30,205
1344,287,541.67,2014-09-30,185
1345,964,208.33,2014-09-30,186
1346,185,833.33,2014-10-01,210
1347,330,1041.67,2014-10-01,209
1348,248,83.33,2014-10-02,189
1349,102,1250,2014-10-04,207
1350,580,500,2014-10-04,206
1351,665,291.67,2014-10-04,202
1352,56,291.67,2014-10-05,211
1353,107,291.67,2014-10-06,191
1354,376,833.33,2014-10-06,190
1355,39,600,2014-10-07,
1356,367,2083.33,2014-10-07,169
1357,542,291.67,2014-10-07,197
1358,549,1041.67,2014-10-07,198
1359,788,1041.67,2014-10-08,154
1360,558,83.33,2014-10-09,203
1361,686,2083.33,2014-10-09,158
1362,690,2777.78,2014-10-09,140
1363,321,541.67,2014-10-10,195
1364,664,500,2014-10-11,187
1365,326,2083.33,2014-10-12,179
1366,112,2777.78,2014-10-13,167
1367,996,208.33,2014-10-14,208
1368,258,2083.33,2014-10-19,163
1369,936,2777.78,2014-10-20,164
1370,866,458.33,2014-10-21,199
1371,655,2083.33,2014-10-22,166
1372,181,375,2014-10-23,204
1373,335,2500,2014-10-25,
1374,821,300,2014-10-26,
1375,587,333.33,2014-10-27,200
1376,814,1041.67,2014-10-27,196
1377,983,250,2014-10-27,192
1378,163,300,2014-10-29,212
1379,503,2083.33,2014-10-29,177
1380,939,1458.33,2014-10-29,188
1381,140,208.33,2014-10-30,205
1382,287,541.67,2014-10-31,185
1383,964,208.33,2014-10-31,186
1384,185,833.33,2014-11-01,210
1385,330,1041.67,2014-11-01,209
1386,68,100,2014-11-02,
1387,248,83.33,2014-11-02,189
1388,102,1250,2014-11-04,207
1389,580,500,2014-11-04,206
1390,665,291.67,2014-11-04,202
1391,56,291.67,2014-11-05,211
1392,950,100,2014-11-05,
1393,107,291.67,2014-11-06,191
1394,235,100,2014-11-06,
1395,376,833.33,2014-11-06,190
1396,367,2083.33,2014-11-07,169
1397,542,291.67,2014-11-07,197
1398,549,1041.67,2014-11-07,198
1399,52,100,2014-11-08,
1400,558,83.33,2014-11-09,203
1401,686,2083.33,2014-11-09,158
1402,690,2777.78,2014-11-09,140
1403,321,541.67,2014-11-10,195
1404,664,500,2014-11-11,187
1405,326,2083.33,2014-11-12,179
1406,112,2777.78,2014-11-13,167
1407,996,208.33,2014-11-14,208
1408,258,2083.33,2014-11-19,163
1409,936,2777.78,2014-11-20,164
1410,866,458.33,2014-11-21,199
1411,655,2083.33,2014-11-22,166
1412,181,375,2014-11-23,204
1413,587,333.33,2014-11-27,200
1414,814,1041.67,2014-11-27,196
1415,983,250,2014-11-27,192
1416,503,2083.33,2014-11-29,177
1417,939,1458.33,2014-11-29,188
1418,140,208.33,2014-11-30,205
1419,185,833.33,2014-12-01,210
1420,330,1041.67,2014-12-01,209
1421,248,83.33,2014-12-02,189
1422,1,400,2014-12-04,
1423,102,1250,2014-12-04,207
1424,580,500,2014-12-04,206
1425,665,291.67,2014-12-04,202
1426,56,291.67,2014-12-05,211
1427,107,291.67,2014-12-06,191
1428,376,833.33,2014-12-06,190
1429,824,100,2014-12-06,
1430,367,2083.33,2014-12-07,169
1431,485,458.33,2014-12-07,213
1432,542,291.67,2014-12-07,197
1433,549,1041.67,2014-12-07,198
1434,383,600,2014-12-08,
1435,558,83.33,2014-12-09,203
1436,690,2777.78,2014-12-09,140
1437,321,541.67,2014-12-10,195
1438,326,2083.33,2014-12-12,179
1439,112,2777.78,2014-12-13,167
1440,197,625,2014-12-14,214
1441,966,600,2014-12-14,
1442,996,208.33,2014-12-14,208
1443,935,700,2014-12-16,
1444,258,2083.33,2014-12-19,163
1445,936,2777.78,2014-12-20,164
1446,866,458.33,2014-12-21,199
1447,655,2083.33,2014-12-22,166
1448,181,375,2014-12-23,204
1449,59,166.67,2014-12-27,215
1450,587,333.33,2014-12-27,200
1451,814,1041.67,2014-12-27,196
1452,949,1000,2014-12-27,
1453,983,250,2014-12-27,192
1454,503,2083.33,2014-12-29,177
1455,140,208.33,2014-12-30,205
1456,185,833.33,2015-01-01,210
1457,279,583.33,2015-01-01,216
1458,330,1041.67,2015-01-01,209
1459,102,1250,2015-01-04,207
1460,580,500,2015-01-04,206
1461,665,291.67,2015-01-04,202
1462,56,291.67,2015-01-05,211
1463,367,2083.33,2015-01-07,169
1464,485,458.33,2015-01-07,213
1465,542,291.67,2015-01-07,197
1466,549,1041.67,2015-01-07,198
1467,202,200,2015-01-09,
1468,558,83.33,2015-01-09,203
1469,690,2777.78,2015-01-09,140
1470,321,541.67,2015-01-10,195
1471,326,2083.33,2015-01-12,179
1472,112,2777.78,2015-01-13,167
1473,197,625,2015-01-14,214
1474,996,208.33,2015-01-14,208
1475,597,200,2015-01-18,
1476,10,600,2015-01-20,
1477,936,2777.78,2015-01-20,164
1478,866,458.33,2015-01-21,199
1479,655,2083.33,2015-01-22,166
1480,181,375,2015-01-23,204
1481,729,83.33,2015-01-23,218
1482,851,2777.78,2015-01-23,217
1483,59,166.67,2015-01-27,215
1484,587,333.33,2015-01-27,200
1485,814,1041.67,2015-01-27,196
1486,832,400,2015-01-27,
1487,983,250,2015-01-27,192
1488,503,2083.33,2015-01-29,177
1489,140,208.33,2015-01-30,205
1490,185,833.33,2015-02-01,210
1491,279,583.33,2015-02-01,216
1492,330,1041.67,2015-02-01,209
1493,102,1250,2015-02-04,207
1494,468,100,2015-02-04,
1495,580,500,2015-02-04,206
1496,665,291.67,2015-02-04,202
1497,56,291.67,2015-02-05,211
1498,862,83.33,2015-02-05,219
1499,367,2083.33,2015-02-07,169
1500,485,458.33,2015-02-07,213
1501,542,291.67,2015-02-07,197
1502,549,1041.67,2015-02-07,198
1503,45,600,2015-02-08,
1504,558,83.33,2015-02-09,203
1505,690,2777.78,2015-02-09,140
1506,321,541.67,2015-02-10,195
1507,326,2083.33,2015-02-12,179
1508,112,2777.78,2015-02-13,167
1509,737,800,2015-02-13,
1510,197,625,2015-02-14,214
1511,996,208.33,2015-02-14,208
1512,936,2777.78,2015-02-20,164
1513,92,333.33,2015-02-21,220
1514,866,458.33,2015-02-21,199
1515,655,2083.33,2015-02-22,166
1516,181,375,2015-02-23,204
1517,729,83.33,2015-02-23,218
1518,851,2777.78,2015-02-23,217
1519,59,166.67,2015-02-27,215
1520,587,333.33,2015-02-27,200
1521,814,1041.67,2015-02-27,196
1522,140,208.33,2015-02-28,205
1523,503,2083.33,2015-02-28,177
1524,185,833.33,2015-03-01,210
1525,279,583.33,2015-03-01,216
1526,330,1041.67,2015-03-01,209
1527,102,1250,2015-03-04,207
1528,580,500,2015-03-04,206
1529,611,100,2015-03-04,
1530,665,291.67,2015-03-04,202
1531,56,291.67,2015-03-05,211
1532,862,83.33,2015-03-05,219
1533,952,1041.67,2015-03-06,221
1534,367,2083.33,2015-03-07,169
1535,485,458.33,2015-03-07,213
1536,510,100,2015-03-07,
1537,542,291.67,2015-03-07,197
1538,549,1041.67,2015-03-07,198
1539,558,83.33,2015-03-09,203
1540,690,2777.78,2015-03-09,140
1541,764,500,2015-03-09,222
1542,321,541.67,2015-03-10,195
1543,746,800,2015-03-10,
1544,767,1000,2015-03-10,
1545,326,2083.33,2015-03-12,179
1546,112,2777.78,2015-03-13,167
1547,197,625,2015-03-14,214
1548,996,208.33,2015-03-14,208
1549,577,125,2015-03-18,223
1550,936,2777.78,2015-03-20,164
1551,92,333.33,2015-03-21,220
1552,866,458.33,2015-03-21,199
1553,655,2083.33,2015-03-22,166
1554,181,375,2015-03-23,204
1555,729,83.33,2015-03-23,218
1556,851,2777.78,2015-03-23,217
1557,378,625,2015-03-25,224
1558,59,166.67,2015-03-27,215
1559,587,333.33,2015-03-27,200
1560,814,1041.67,2015-03-27,196
1561,503,2083.33,2015-03-29,177
1562,140,208.33,2015-03-30,205
1563,185,833.33,2015-04-01,210
1564,279,583.33,2015-04-01,216
1565,330,1041.67,2015-04-01,209
1566,102,1250,2015-04-04,207
1567,580,500,2015-04-04,206
1568,665,291.67,2015-04-04,202
1569,56,291.67,2015-04-05,211
1570,862,83.33,2015-04-05,219
1571,952,1041.67,2015-04-06,221
1572,266,200,2015-04-07,
1573,485,458.33,2015-04-07,213
1574,542,291.67,2015-04-07,197
1575,549,1041.67,2015-04-07,198
1576,558,83.33,2015-04-09,203
1577,690,2777.78,2015-04-09,140
1578,861,200,2015-04-10,
1579,326,2083.33,2015-04-12,179
1580,112,2777.78,2015-04-13,167
1581,197,625,2015-04-14,214
1582,996,208.33,2015-04-14,208
1583,577,125,2015-04-18,223
1584,735,6000,2015-04-19,
1585,343,2083.33,2015-04-20,225
1586,573,833.33,2015-04-20,226
1587,936,2777.78,2015-04-20,164
1588,92,333.33,2015-04-21,220
1589,866,458.33,2015-04-21,199
1590,655,2083.33,2015-04-22,166
1591,181,375,2015-04-23,204
1592,729,83.33,2015-04-23,218
1593,851,2777.78,2015-04-23,217
1594,378,625,2015-04-25,224
1595,59,166.67,2015-04-27,215
1596,587,333.33,2015-04-27,200
1597,623,400,2015-04-27,
1598,814,1041.67,2015-04-27,196
1599,24,2500,2015-04-28,
1600,503,2083.33,2015-04-29,177
1601,140,208.33,2015-04-30,205
1602,639,458.33,2015-04-30,227
1603,639,166.67,2015-04-30,228
1604,185,833.33,2015-05-01,210
1605,279,583.33,2015-05-01,216
1606,330,1041.67,2015-05-01,209
1607,209,1041.67,2015-05-03,229
1608,102,1250,2015-05-04,207
1609,580,500,2015-05-04,206
1610,665,291.67,2015-05-04,202
1611,56,291.67,2015-05-05,211
1612,862,83.33,2015-05-05,219
1613,952,1041.67,2015-05-06,221
1614,485,458.33,2015-05-07,213
1615,558,83.33,2015-05-09,203
1616,690,2777.78,2015-05-09,140
1617,620,400,2015-05-11,
1618,326,2083.33,2015-05-12,179
1619,112,2777.78,2015-05-13,167
1620,197,625,2015-05-14,214
1621,996,208.33,2015-05-14,208
1622,157,500,2015-05-15,230
1623,577,125,2015-05-18,223
1624,343,2083.33,2015-05-20,225
1625,573,833.33,2015-05-20,226
1626,936,2777.78,2015-05-20,164
1627,92,333.33,2015-05-21,220
1628,474,833.33,2015-05-21,231
1629,866,458.33,2015-05-21,199
1630,655,2083.33,2015-05-22,166
1631,181,375,2015-05-23,204
1632,729,83.33,2015-05-23,218
1633,851,2777.78,2015-05-23,217
1634,378,625,2015-05-25,224
1635,182,800,2015-05-26,
1636,59,166.67,2015-05-27,215
1637,587,333.33,2015-05-27,200
1638,814,1041.67,2015-05-27,196
1639,503,2083.33,2015-05-29,177
